Serial # in Treebank,Citation,Greek text,English,Lemmas,,,,,,,,,,,,,,,,,,,,,,Serial # in Treebank,Citation,Greek text,English,Lemmas
2274121,1.35-1.36,"[1.35] πολλὰ δ᾽ ἔπειτ᾽ ἀπάνευθε κιὼν ἠρᾶθ᾽ ὃ γεραιὸς [1.36] Ἀπόλλωνι ἄνακτι, τὸν ἠΰκομος τέκε Λητώ:","and earnestly then, when he had gone apart, the old man prayed to the lord Apollo, whom fair-haired Leto bore:",πολύς δέ ἔπειτα ἀπάνευθε κίω ἀράομαι ὁ γεραιός Ἀπόλλων ἄναξ ὁ εὔκομος τίκτω Λητώ,,,,,,,,,,,,,,,,,,,,,,,,,,
2274122,1.37-1.41,"[1.37] κλῦθί μευ ἀργυρότοξ᾽, ὃς Χρύσην ἀμφιβέβηκας [1.38] Κίλλάν τε ζαθέην Τενέδοιό τε ἶφι ἀνάσσεις, [1.39] Σμινθεῦ εἴ ποτέ τοι χαρίεντ᾽ ἐπὶ νηὸν ἔρεψα, [1.40] ἢ εἰ δή ποτέ τοι κατὰ πίονα μηρί᾽ ἔκηα [1.41] ταύρων ἠδ᾽ αἰγῶν, τὸ δέ μοι κρήηνον ἐέλδωρ:","Hear me, god of the silver bow, who stand over Chryse and holy Cilla, and rule mightily over Tenedos , Sminthian god, 1 if ever I roofed over a temple to your pleasing, or if ever I burned to you fat thigh-pieces of bulls and goats, fulfill this prayer for me:",κλύω ἐγώ ἀργυρότοξος ὅς Χρύση ἀμφιβαίνω Κίλλα τε ζάθεος Τένεδος τε ἶφι ἀνάσσω Σμινθεύς εἰ ποτέ σύ χαρίεις ἐπί ναός ἐρέφω ἤ εἰ δή ποτέ σύ κατά πίων μηρία καίω ταῦρος ἠδέ αἴξ ὁ δέ ἐγώ κραίνω ἔλδωρ,,,,,,,,,,,,,,,,,,,,,,,,,,
2274123,1.42,[1.42] τίσειαν Δαναοὶ ἐμὰ δάκρυα σοῖσι βέλεσσιν.,let the Danaans pay for my tears by your arrows,τίνω Δαναοί ἐμός δάκρυον σός βέλος,,,,,,,,,,,,,,,,,,,,,,,,,,
2274124,1.43-1.45,"[1.43] ὣς ἔφατ᾽ εὐχόμενος, τοῦ δ᾽ ἔκλυε Φοῖβος Ἀπόλλων, [1.44] βῆ δὲ κατ᾽ Οὐλύμποιο καρήνων χωόμενος κῆρ, [1.45] τόξ᾽ ὤμοισιν ἔχων ἀμφηρεφέα τε φαρέτρην:","So he spoke in prayer, and Phoebus Apollo heard him. Down from the peaks of Olympus he strode, angered at heart, bearing on his shoulders his bow and covered quiver.",ὡς φημί εὔχομαι ὁ δέ κλύω Φοῖβος Ἀπόλλων βαίνω δέ κατά Ὄλυμπος κάρηνον χώομαι κῆρ τόξον ὦμος ἔχω ἀμφηρεφής τε φαρέτρα,,,,,,,,,,,,,,,,,,,,,,,,,,
2274125,1.46-1.47,"[1.46] ἔκλαγξαν δ᾽ ἄρ᾽ ὀϊστοὶ ἐπ᾽ ὤμων χωομένοιο, [1.47] αὐτοῦ κινηθέντος:","The arrows rattled on the shoulders of the angry god as he moved,",κλάζω δέ ἄρα ὀιστός ἐπί ὦμος χώομαι αὐτός κινέω,,,,,,,,,,,,,,,,,,,,,,,,,,
2274126,1.47,[1.47] ὃ δ᾽ ἤϊε νυκτὶ ἐοικώς.,and his coming was like the night.,ὁ δέ εἶμι νύξ ἔοικα,,,,,,,,,,,,,,,,,,,,,,,,,,
2274127,1.48,"[1.48] ἕζετ᾽ ἔπειτ᾽ ἀπάνευθε νεῶν, μετὰ δ᾽ ἰὸν ἕηκε:",Then he sat down apart from the ships and let fly an arrow:,ἕζομαι ἔπειτα ἀπάνευθε ναῦς μετά δέ ἰός ἵημι,,,,,,,,,,,,,,,,,,,,,,,,,,
2274128,1.49,[1.49] δεινὴ δὲ κλαγγὴ γένετ᾽ ἀργυρέοιο βιοῖο:,terrible was the twang of the silver bow.,δεινός δέ κλαγγή γίγνομαι ἀργύρεος βιός,,,,,,,,,,,,,,,,,,,,,,,,,,
2274129,1.50-1.52,"[1.50] οὐρῆας μὲν πρῶτον ἐπῴχετο καὶ κύνας ἀργούς, [1.51] αὐτὰρ ἔπειτ᾽ αὐτοῖσι βέλος ἐχεπευκὲς ἐφιεὶς [1.52] βάλλ᾽:","The mules he assailed first and the swift dogs, but then on the men themselves he let fly his stinging shafts, and struck;",ὀρεύς μέν πρῶτος ἐποίχομαι καί κύων ἀργός ἀτάρ ἔπειτα αὐτός βέλος ἐχεπευκής ἐφίημι βάλλω,,,,,,,,,,,,,,,,,,,,,,,,,,
2274130,1.52,[1.52] αἰεὶ δὲ πυραὶ νεκύων καίοντο θαμειαί.,and constantly the pyres of the dead burned thick.,ἀεί δέ πυρή νέκυς καίω θαμέες,,,,,,,,,,,,,,,,,,,,,,,,,,
2274131,1.53-1.54,"[1.53] ἐννῆμαρ μὲν ἀνὰ στρατὸν ᾤχετο κῆλα θεοῖο, [1.54] τῇ δεκάτῃ δ᾽ ἀγορὴν δὲ καλέσσατο λαὸν Ἀχιλλεύς:","For nine days the missiles of the god ranged among the host, but on the tenth Achilles called the people to assembly,",ἐννῆμαρ μέν ἀνά στρατός οἴχομαι κῆλον θεός ὁ δέκατος δέ ἀγορά δέ καλέω λαός Ἀχιλλεύς,,,,,,,,,,,,,,,,,,,,,,,,,,
2274132,1.55,[1.55] τῷ γὰρ ἐπὶ φρεσὶ θῆκε θεὰ λευκώλενος Ἥρη: [0],"for the goddess, white-armed Hera, had put it in his heart,",ὁ γάρ ἐπί φρήν τίθημι θεά λευκώλενος Ἥρα,,,,,,,,,,,,,,,,,,,,,,,,,,
2274133,1.56,"[1.56] κήδετο γὰρ Δαναῶν, ὅτι ῥα θνήσκοντας ὁρᾶτο.","since she pitied the Danaans, when she saw them dying.",κήδω γάρ Δαναοί ὅτι2 ἄρα θνήσκω ὁράω,,,,,,,,,,,,,,,,,,,,,,,,,,
2274134,1.57-1.58,"[1.57] οἳ δ᾽ ἐπεὶ οὖν ἤγερθεν ὁμηγερέες τε γένοντο, [1.58] τοῖσι δ᾽ ἀνιστάμενος μετέφη πόδας ὠκὺς Ἀχιλλεύς:","When they were assembled and gathered together, among them arose and spoke swift-footed Achilles:",ὁ δέ ἐπεί οὖν ἀγείρω ὁμηγερής τε γίγνομαι ὁ δέ ἀνίστημι μετάφημι πούς ὠκύς Ἀχιλλεύς,,,,,,,,,,,,,,,,,,,,,,,,,,
2274135,1.59-1.61,"[1.59] Ἀτρεΐδη νῦν ἄμμε παλιμπλαγχθέντας ὀΐω [1.60] ἂψ ἀπονοστήσειν, εἴ κεν θάνατόν γε φύγοιμεν, [1.61] εἰ δὴ ὁμοῦ πόλεμός τε δαμᾷ καὶ λοιμὸς Ἀχαιούς:","Son of Atreus, now I think we shall return home, beaten back again, should we even escape death, if war and pestilence alike are to ravage the Achaeans.",Ἀτρείδης νῦν ἐγώ παλιμπλάζομαι οἴομαι ἄψ ἀπονοστέω εἰ ἄν θάνατος γε φεύγω εἰ δή ὁμοῦ πόλεμος τε δαμάζω καί λοιμός Ἀχαιός,,,,,,,,,,,,,,,,,,,,,,,,,,
2274136,1.62-1.67,"[1.62] ἀλλ᾽ ἄγε δή τινα μάντιν ἐρείομεν ἢ ἱερῆα [1.63] ἢ καὶ ὀνειροπόλον, καὶ γάρ τ᾽ ὄναρ ἐκ Διός ἐστιν, [1.64] ὅς κ᾽ εἴποι ὅ τι τόσσον ἐχώσατο Φοῖβος Ἀπόλλων, [1.65] εἴτ᾽ ἄρ᾽ ὅ γ᾽ εὐχωλῆς ἐπιμέμφεται ἠδ᾽ ἑκατόμβης, [1.66] αἴ κέν πως ἀρνῶν κνίσης αἰγῶν τε τελείων [1.67] βούλεται ἀντιάσας ἡμῖν ἀπὸ λοιγὸν ἀμῦναι.","But come, let us ask some seer or priest, or some reader of dreams—for a dream too is from Zeus—who might say why Phoebus Apollo is so angry, whether he finds fault with a vow or a hecatomb; in hope that he may accept the savour of lambs and unblemished goats, and be willing to ward off the pestilence from us.",ἀλλά ἄγε δή τις μάντις ἐρέω ἤ ἱερεύς ἤ καί ὀνειροπόλος καί γάρ τε ὄναρ ἐκ Ζεύς εἰμί ὅς ἄν εἶπον ὅς τις τόσος χώομαι Φοῖβος Ἀπόλλων εἴτε ἄρα ὁ γε εὐχωλή ἐπιμέμφομαι ἠδέ ἑκατόμβη εἰ ἄν πως ἀρνός κνῖσα αἴξ τε τέλειος βούλομαι ἀντιάω ἐγώ ἀπό λοιγός ἀμύνω,,,,,,,,,,,,,,,,,,,,,,,,,,
2274137,1.68,[1.68] ἤτοι ὅ γ᾽ ὣς εἰπὼν κατ᾽ ἄρ᾽ ἕζετο:,"When he had thus spoken he sat down,",ἤτοι ὁ γε ὡς εἶπον κατά ἄρα ἕζομαι,,,,,,,,,,,,,,,,,,,,,,,,,,
2274138,1.68-1.72,"[1.68] τοῖσι δ᾽ ἀνέστη [1.69] Κάλχας Θεστορίδης οἰωνοπόλων ὄχ᾽ ἄριστος, [1.70] ὃς ᾔδη τά τ᾽ ἐόντα τά τ᾽ ἐσσόμενα πρό τ᾽ ἐόντα, [1.71] καὶ νήεσσ᾽ ἡγήσατ᾽ Ἀχαιῶν Ἴλιον εἴσω [1.72] ἣν διὰ μαντοσύνην, τήν οἱ πόρε Φοῖβος Ἀπόλλων:","and among them arose Calchas son of Thestor, far the best of bird-diviners, who knew the things that were, and that were to be, and that had been before, and who had guided the ships of the Achaeans to Ilios by his own prophetic powers which Phoebus Apollo had bestowed upon him.",ὁ δέ ἀνίστημι Κάλχας Θεστορίδης οἰωνοπόλος ὄχα ἄριστος ὅς οἶδα ὁ τε εἰμί ὁ τε εἰμί πρό τε εἰμί καί ναῦς ἡγέομαι Ἀχαιός Ἴλιος εἴσω ἑός διά μαντοσύνη ὁ ἕ πόρω Φοῖβος Ἀπόλλων,,,,,,,,,,,,,,,,,,,,,,,,,,
2274139,1.73,[1.73] ὅ σφιν ἐὺ φρονέων ἀγορήσατο καὶ μετέειπεν:,"He with good intent addressed the gathering, and spoke among them:",ὁ σφεῖς εὖ φρονέω ἀγοράομαι καί μετεῖπον,,,,,,,,,,,,,,,,,,,,,,,,,,
2274140,1.74-1.75,[1.74] ὦ Ἀχιλεῦ κέλεαί με Διῒ φίλε μυθήσασθαι [1.75] μῆνιν Ἀπόλλωνος ἑκατηβελέταο ἄνακτος: [0] [1],"Achilles, dear to Zeus, you bid me declare the wrath of Apollo, the lord who strikes from afar.",ὦ Ἀχιλλεύς κέλομαι ἐγώ Ζεύς φίλος μυθέομαι μῆνις Ἀπόλλων ἑκατηβελέτης ἄναξ,,,,,,,,,,,,,,,,,,,,,,,,,,
2274141,1.76,[1.76] τοὶ γὰρ ἐγὼν ἐρέω:,Therefore I will speak;,σύ γάρ ἐγώ ἐρῶ,,,,,,,,,,,,,,,,,,,,,,,,,,
2274142,1.76-1.77,[1.76] σὺ δὲ σύνθεο καί μοι ὄμοσσον [1.77] ἦ μέν μοι πρόφρων ἔπεσιν καὶ χερσὶν ἀρήξειν:,but take thought and swear that you will readily defend me with word and with might of hand;,σύ δέ συντίθημι καί ἐγώ ὄμνυμι ἦ μέν ἐγώ πρόφρων ἔπος καί χείρ ἀρήγω,,,,,,,,,,,,,,,,,,,,,,,,,,
2274143,1.78-1.79,"[1.78] ἦ γὰρ ὀΐομαι ἄνδρα χολωσέμεν, ὃς μέγα πάντων [1.79] Ἀργείων κρατέει καί οἱ πείθονται Ἀχαιοί:","for I think I shall anger a man who rules mightily over all the Argives, and whom the Achaeans obey.",ἦ γάρ οἴομαι ἀνήρ χολόω ὅς μέγας πᾶς Ἀργεῖος κρατέω καί ἕ πείθω Ἀχαιός,,,,,,,,,,,,,,,,,,,,,,,,,,
2274144,1.8,[1.80] κρείσσων γὰρ βασιλεὺς ὅτε χώσεται ἀνδρὶ χέρηϊ: [0],"For mightier is a king, when he is angry at a lesser man.",κρείσσων γάρ βασιλεύς ὅτε χώομαι ἀνήρ χερείων,,,,,,,,,,,,,,,,,,,,,,,,,,
2274145,1.81-1.83,"[1.81] εἴ περ γάρ τε χόλον γε καὶ αὐτῆμαρ καταπέψῃ, [1.82] ἀλλά τε καὶ μετόπισθεν ἔχει κότον, ὄφρα τελέσσῃ, [1.83] ἐν στήθεσσιν ἑοῖσι:","Even if he swallows down his wrath for that day, yet afterwards he cherishes resentment in his heart till he brings it to fulfillment.",εἰ πέρ γάρ τε χόλος γε καί αὐτῆμαρ καταπέσσω ἀλλά τε καί μετόπισθε ἔχω κότος ὄφρα τελέω ἐν στῆθος ἑός,,,,,,,,,,,,,,,,,,,,,,,,,,
2274146,1.83,[1.83] σὺ δὲ φράσαι εἴ με σαώσεις.,"Say then, if you will keep me safe.",σύ δέ φράζω εἰ ἐγώ σώζω,,,,,,,,,,,,,,,,,,,,,,,,,,
2274147,1.84,[1.84] τὸν δ᾽ ἀπαμειβόμενος προσέφη πόδας ὠκὺς Ἀχιλλεύς:,In answer to him spoke swift-footed Achilles:,ὁ δέ ἀπαμείβομαι πρόσφημι πούς ὠκύς Ἀχιλλεύς,,,,,,,,,,,,,,,,,,,,,,,,,,
2274148,1.85,[1.85] θαρσήσας μάλα εἰπὲ θεοπρόπιον ὅ τι οἶσθα:,"Take heart, and speak out whatever oracle you know;",θαρσέω μάλα εἶπον θεοπρόπιον ὅς τις οἶδα,,,,,,,,,,,,,,,,,,,,,,,,,,
2274149,1.86-1.91,"[1.86] οὐ μὰ γὰρ Ἀπόλλωνα Διῒ φίλον, ᾧ τε σὺ Κάλχαν [1.87] εὐχόμενος Δαναοῖσι θεοπροπίας ἀναφαίνεις, [1.88] οὔ τις ἐμεῦ ζῶντος καὶ ἐπὶ χθονὶ δερκομένοιο [1.89] σοὶ κοίλῃς παρὰ νηυσί βαρείας χεῖρας ἐποίσει [1.90] συμπάντων Δαναῶν, οὐ δ᾽ ἢν Ἀγαμέμνονα εἴπῃς, [1.91] ὃς νῦν πολλὸν ἄριστος Ἀχαιῶν εὔχεται εἶναι.","for by Apollo, dear to Zeus, to whom you, Calchas, pray when you reveal oracles to the Danaans, no one, while I live and have sight on the earth, shall lay heavy hands on you beside the hollow ships, no one of the whole host of the Danaans, not even if you name Agamemnon, who now claims to be far the best of the Achaeans.",οὐ μά γάρ Ἀπόλλων Ζεύς φίλος ὅς τε σύ Κάλχας εὔχομαι Δαναοί θεοπροπία ἀναφαίνω οὐ τις ἐγώ ζάω καί ἐπί χθών δέρκομαι σύ κοῖλος παρά ναῦς βαρύς χείρ ἐπιφέρω σύμπας Δαναοί οὐ δέ ἐάν Ἀγαμέμνων εἶπον ὅς νῦν πολύς ἄριστος Ἀχαιός εὔχομαι εἰμί,,,,,,,,,,,,,,,,,,,,,,,,,,
2274150,1.92,[1.92] καὶ τότε δὴ θάρσησε καὶ ηὔδα μάντις ἀμύμων:,"Then the blameless seer took heart, and spoke:",καί τότε δή θαρσέω καί αὐδάω μάντις ἀμύμων,,,,,,,,,,,,,,,,,,,,,,,,,,
2274151,1.93-1.96,"[1.93] οὔ τ᾽ ἄρ ὅ γ᾽ εὐχωλῆς ἐπιμέμφεται οὐ δ᾽ ἑκατόμβης, [1.94] ἀλλ᾽ ἕνεκ᾽ ἀρητῆρος ὃν ἠτίμησ᾽ Ἀγαμέμνων, [1.95] οὐ δ᾽ ἀπέλυσε θύγατρα καὶ οὐκ ἀπεδέξατ᾽ ἄποινα, [1.96] τοὔνεκ᾽ ἄρ᾽ ἄλγε᾽ ἔδωκεν ἑκηβόλος ἠδ᾽ ἔτι δώσει:","It is not then because of a vow that he finds fault, nor because of a hecatomb, but because of the priest whom Agamemnon dishonoured, and did not release his daughter nor accept the ransom. For this cause the god who strikes from afar has given woes and will still give them.",οὐ τε ἄρα ὁ γε εὐχωλή ἐπιμέμφομαι οὐ δέ ἑκατόμβη ἀλλά ἕνεκα ἀρητήρ ὅς ἀτιμάω Ἀγαμέμνων οὐ δέ ἀπολύω θυγάτηρ καί οὐ ἀποδέχομαι ἄποινα τοὔνεκα ἄρα ἄλγος δίδωμι ἑκηβόλος ἠδέ ἔτι δίδωμι,,,,,,,,,,,,,,,,,,,,,,,,,,
2274152,1.97-1.100,"[1.97] οὐ δ᾽ ὅ γε πρὶν Δαναοῖσιν ἀεικέα λοιγὸν ἀπώσει [1.98] πρίν γ᾽ ἀπὸ πατρὶ φίλῳ δόμεναι ἑλικώπιδα κούρην [1.99] ἀπριάτην ἀνάποινον, ἄγειν θ᾽ ἱερὴν ἑκατόμβην [1.100] ἐς Χρύσην: [0]","He will not drive off from the Danaans the loathsome pestilence, until we give back to her dear father the bright-eyed maiden, unbought, unransomed, and lead a sacred hecatomb to Chryse .",οὐ δέ ὁ γε πρίν Δαναοί ἀεικής λοιγός ἀπωθέω πρίν γε ἀπό πατήρ φίλος δίδωμι ἑλικῶπις κόρη ἀπρίατος ἀνάποινος ἄγω τε ἱερός ἑκατόμβη εἰς Χρύση,,,,,,,,,,,,,,,,,,,,,,,,,,
2274153,1.1,[1.100] τότε κέν μιν ἱλασσάμενοι πεπίθοιμεν.,Then we might appease and persuade him.,τότε ἄν μιν ἱλάομαι πείθω,,,,,,,,,,,,,,,,,,,,,,,,,,
2274154,1.101,[1.101] ἤτοι ὅ γ᾽ ὣς εἰπὼν κατ᾽ ἄρ᾽ ἕζετο:,"When he had thus spoken he sat down,",ἤτοι ὁ γε ὡς εἶπον κατά ἄρα ἕζομαι,,,,,,,,,,,,,,,,,,,,,,,,,,
2274155,1.101-1.103,[1.101] τοῖσι δ᾽ ἀνέστη [1.102] ἥρως Ἀτρεΐδης εὐρὺ κρείων Ἀγαμέμνων [1.103] ἀχνύμενος:,"and among them arose the warrior, son of Atreus, wide-ruling Agamemnon, deeply troubled.",ὁ δέ ἀνίστημι ἥρως Ἀτρείδης εὐρύς κρείων Ἀγαμέμνων ἀχεύω,,,,,,,,,,,,,,,,,,,,,,,,,,
2274156,1.103-1.104,"[1.103] μένεος δὲ μέγα φρένες ἀμφιμέλαιναι [1.104] πίμπλαντ᾽, ὄσσε δέ οἱ πυρὶ λαμπετόωντι ἐΐκτην:","With rage his black heart was wholly filled, and his eyes were like blazing fire.",μένος δέ μέγας φρήν ἀμφιμέλας πίμπλημι ὄσσε δέ ἕ πῦρ λαμπετάω ἔοικα,,,,,,,,,,,,,,,,,,,,,,,,,,
2274157,1.105,[1.105] Κάλχαντα πρώτιστα κάκ᾽ ὀσσόμενος προσέειπε:,"To Calchas first of all he spoke, and his look threatened evil:",Κάλχας πρώτιστος κακός ὄσσομαι προσεῖπον,,,,,,,,,,,,,,,,,,,,,,,,,,
2274158,1.106,[1.106] μάντι κακῶν οὐ πώ ποτέ μοι τὸ κρήγυον εἶπας:,"Prophet of evil, never yet have you spoken to me a pleasant thing;",μάντις κακός οὐ πω ποτέ ἐγώ ὁ κρήγυος εἶπον,,,,,,,,,,,,,,,,,,,,,,,,,,
