Serial # in Treebank,Citation,Greek text,English,Lemmas
2185551,1.20-1.21,[1.20] ὁ δ᾽ ἀσπερχὲς μενέαινεν [1.21] ἀντιθέῳ Ὀδυσῆι πάρος ἣν γαῖαν ἱκέσθαι.,but he continued to rage unceasingly against godlike Odysseus until he reached his own land.,ὁ δέ ἀσπερχές μενεαίνω ἀντίθεος Ὀδυσσεύς πάρος ὅς γαῖα ἱκνέομαι
2185552,1.22-1.25,"[1.22] ἀλλ᾽ ὁ μὲν Αἰθίοπας μετεκίαθε τηλόθ᾽ ἐόντας, [1.23] Αἰθίοπας τοὶ διχθὰ δεδαίαται, ἔσχατοι ἀνδρῶν, [1.24] οἱ μὲν δυσομένου Ὑπερίονος οἱ δ᾽ ἀνιόντος, [1.25] ἀντιόων ταύρων τε καὶ ἀρνειῶν ἑκατόμβης. [0] [1]","Poseidon had, however, gone among the far-off Ethiopians—the Ethiopians who dwell split in two, the farthermost of men, some where Hyperion sets and some where he rises, there to receive a hecatomb of bulls and rams,",ἀλλά ὁ μέν Αἰθίοψ μετακιάθω τηλόθι εἰμί Αἰθίοψ ὁ διχθά δαίω2 ἔσχατος ἀνήρ ὁ μέν δύω2 Ὑπερίων ὁ δέ ἄνειμι ἀντιάω ταῦρος τε καί ἀρνειός ἑκατόμβη
2185553,1.26,[1.26] ἔνθ᾽ ὅ γ᾽ ἐτέρπετο δαιτὶ παρήμενος:,"and there he was taking his pleasure, sitting at the feast;",ἔνθα ὅς γε τέρπω δαίς πάρημαι
2185554,1.26-1.27,[1.26] οἱ δὲ δὴ ἄλλοι [1.27] Ζηνὸς ἐνὶ μεγάροισιν Ὀλυμπίου ἁθρόοι ἦσαν.,but the other gods were gathered together in the halls of Olympian Zeus.,ὁ δέ δή ἄλλος Ζεύς ἐν μέγαρον Ὀλύμπιος ἀθρόος εἰμί
2185555,1.28,[1.28] τοῖσι δὲ μύθων ἦρχε πατὴρ ἀνδρῶν τε θεῶν τε:,"Among them the father of gods and men was first to speak,",ὁ δέ μῦθος ἄρχω πατήρ ἀνήρ τε θεός τε
2185556,1.29-1.30,"[1.29] μνήσατο γὰρ κατὰ θυμὸν ἀμύμονος Αἰγίσθοιο, [1.30] τόν ῥ᾽ Ἀγαμεμνονίδης τηλεκλυτὸς ἔκταν᾽ Ὀρέστης:","for in his heart he thought of blameless Aegisthus, whom far-famed Orestes, Agamemnon's son, had slain.",μιμνήσκω γάρ κατά θυμός ἀμύμων Αἴγισθος ὁ ἄρα Ἀγαμεμνονίδης τηλεκλυτός κτείνω Ὀρέστης
2185557,1.31,[1.31] τοῦ ὅ γ᾽ ἐπιμνησθεὶς ἔπε᾽ ἀθανάτοισι μετηύδα:,Remembering him he spoke among the immortals:,ὁ ὁ γε ἐπιμιμνήσκομαι ἔπος ἀθάνατος μεταυδάω
2185558,1.32,"&#34; [1.32] ὢ πόποι, οἷον δή νυ θεοὺς βροτοὶ αἰτιόωνται:","I can't believe, how ridiculously ready mortals are to blame the gods.",ὦ πόποι οἷος δή νῦν θεός βροτός αἰτιάομαι
2185559,1.33-1.39,"[1.33] ἐξ ἡμέων γάρ φασι κάκ᾽ ἔμμεναι, οἱ δὲ καὶ αὐτοὶ [1.34] σφῇσιν ἀτασθαλίῃσιν ὑπὲρ μόρον ἄλγε᾽ ἔχουσιν, [1.35] ὡς καὶ νῦν Αἴγισθος ὑπὲρ μόρον Ἀτρεΐδαο [1.36] γῆμ᾽ ἄλοχον μνηστήν, τὸν δ᾽ ἔκτανε νοστήσαντα, [1.37] εἰδὼς αἰπὺν ὄλεθρον, ἐπεὶ πρό οἱ εἴπομεν ἡμεῖς, [1.38] Ἑρμείαν πέμψαντες, ἐύσκοπον ἀργεϊφόντην, [1.39] μήτ᾽ αὐτὸν κτείνειν μήτε μνάασθαι ἄκοιτιν:","It is from us, they say, that evils come, but they even themselves, through their own blind folly, have sorrows beyond that which is ordained. So even now Aegisthus, beyond that which was ordained, took to himself the wedded wife of the son of Atreus, and killed him on his homecoming, although well he knew of sheer destruction, seeing that we told him beforehand, having sent Hermes, the keen-sighted Argeiphontes, 1 that he should neither slay the man nor woo his wife;",ἐκ ἐγώ γάρ φημί κακός εἰμί ὁ δέ καί αὐτός σφός ἀτασθαλία ὑπέρ μόρος ἄλγος ἔχω ὡς καί νῦν Αἴγισθος ὑπέρ μόρος Ἀτρείδης γαμέω ἄλοχος μνηστός ὁ δέ κτείνω νοστέω οἶδα αἰπύς ὄλεθρος ἐπεί πρό ἕ εἶπον ἐγώ Ἑρμῆς πέμπω εὔσκοπος Ἀργειφόντης μήτε αὐτός κτείνω μήτε μνάομαι ἄκοιτις
2185560,1.40-1.41,"[1.40] ἐκ γὰρ Ὀρέσταο τίσις ἔσσεται Ἀτρεΐδαο, [1.41] ὁππότ᾽ ἂν ἡβήσῃ τε καὶ ἧς ἱμείρεται αἴης.",for from Orestes shall come vengeance for the son of Atreus when once he has come to manhood and longs for his own land.,ἐκ γάρ Ὀρέστης τίσις εἰμί Ἀτρείδης ὁπότε ἄν ἡβάω τε καί ὅς ἱμείρω αἶα
2185561,1.42-1.43,"[1.42] ὣς ἔφαθ᾽ Ἑρμείας, ἀλλ᾽ οὐ φρένας Αἰγίσθοιο [1.43] πεῖθ᾽ ἀγαθὰ φρονέων:","So Hermes spoke, but for all his good intent he did not persuade the heart of Aegisthus;",ὡς φημί Ἑρμῆς ἀλλά οὐ φρήν Αἴγισθος πείθω ἀγαθός φρονέω
2185562,1.43,[1.43] νῦν δ᾽ ἁθρόα πάντ᾽ ἀπέτισεν.&#34;,and now he has paid the full price of all.,νῦν δέ ἀθρόος πᾶς ἀποτίνω
2185563,1.44,"[1.44] τὸν δ᾽ ἠμείβετ᾽ ἔπειτα θεά, γλαυκῶπις Ἀθήνη:","Then the goddess, flashing-eyed 1 Athena, answered him:",ὁ δέ ἀμείβω ἔπειτα θεά γλαυκῶπις Ἀθήνη
2185564,1.45-1.46,"&#34; [1.45] ὦ πάτερ ἡμέτερε Κρονίδη, ὕπατε κρειόντων, [1.46] καὶ λίην κεῖνός γε ἐοικότι κεῖται ὀλέθρῳ:","Father of us all, thou son of Cronos, high above all lords, aye, verily that man lies low in a destruction that is his due;",ὦ πατήρ ἡμέτερος Κρονίδης ὕπατος κρείων καί λίαν κεῖνος γε ἔοικα κεῖμαι ὄλεθρος
2185565,1.47,"[1.47] ὡς ἀπόλοιτο καὶ ἄλλος, ὅτις τοιαῦτά γε ῥέζοι:","so, too, may any other also be destroyed who does such deeds.",ὡς ἀπόλλυμι υνκνοων ἄλλος ὅστις τοιοῦτος γε ῥέζω
2185566,1.48-1.50,"[1.48] ἀλλά μοι ἀμφ᾽ Ὀδυσῆι δαΐφρονι δαίεται ἦτορ, [1.49] δυσμόρῳ , ὃς δὴ δηθὰ φίλων ἄπο πήματα πάσχει [1.50] νήσῳ ἐν ἀμφιρύτῃ, ὅθι τ᾽ ὀμφαλός ἐστι θαλάσσης.","But my heart is torn for wise Odysseus, hapless man, who far from his friends has long been suffering woes in a sea-girt isle, where is the navel of the sea.",ἀλλά ἐγώ ἀμφί Ὀδυσσεύς δαίφρων δαίω2 ἦτορ δύσμορος ὅς δή δηθά φίλος ἀπό πῆμα πάσχω νῆσος ἐν ἀμφίρυτος ὅθι τε ὀμφαλός εἰμί θάλασσα
2185567,1.51-1.54,"[1.51] νῆσος δενδρήεσσα, θεὰ δ᾽ ἐν δώματα ναίει, [1.52] Ἄτλαντος θυγάτηρ ὀλοόφρονος, ὅς τε θαλάσσης [1.53] πάσης βένθεα οἶδεν, ἔχει δέ τε κίονας αὐτὸς [1.54] μακράς, αἳ γαῖάν τε καὶ οὐρανὸν ἀμφὶς ἔχουσιν.","Tis a wooded isle, and therein dwells a goddess, daughter of Atlas of baneful mind, who knows the depths of every sea, and himself holds the tall pillars which keep earth and heaven apart.",νῆσος δενδρήεις θεά δέ εἰς δῶμα ναίω2 Ἄτλας θυγάτηρ ὀλοόφρων ὅς τε θάλασσα πᾶς βένθος οἶδα ἔχω δέ τε κίων αὐτός μακρός ὅς γαῖα τε καί οὐρανός ἀμφίς ἔχω
2185568,1.55-1.57,"[1.55] τοῦ θυγάτηρ δύστηνον ὀδυρόμενον κατερύκει, [1.56] αἰεὶ δὲ μαλακοῖσι καὶ αἱμυλίοισι λόγοισιν [1.57] θέλγει, ὅπως Ἰθάκης ἐπιλήσεται:","His daughter it is that keeps back that wretched, sorrowing man; and ever with soft and wheedling words she beguiles him that he may forget Ithaca .",ὁ θυγάτηρ δύστηνος ὀδύρομαι κατερύκω ἀεί δέ μαλακός καί αἱμύλος λόγος θέλγω ὅπως Ἰθάκη ἐπιλήθω
2185569,1.57-1.59,"[1.57] αὐτὰρ Ὀδυσσεύς, [1.58] ἱέμενος καὶ καπνὸν ἀποθρῴσκοντα νοῆσαι [1.59] ἧς γαίης, θανέειν ἱμείρεται.","But Odysseus, in his longing to see were it but the smoke leaping up from his own land, yearns to die.",ἀτάρ Ὀδυσσεύς ἵημι καί καπνός ἀποθρῴσκω νοέω ὅς γαῖα θνήσκω ἱμείρω
2185570,1.59-1.60,"[1.59] οὐ δέ νυ σοί περ [1.60] ἐντρέπεται φίλον ἦτορ, Ὀλύμπιε.","Yet thy heart doth not regard it, Olympian.",οὐδέ οὐδέ νῦν σύ πέρ ἐντρέπω φίλος ἦτορ Ὀλύμπιος
2185571,1.60-1.62,[1.60] οὔ νύ τ᾽ Ὀδυσσεὺς [1.61] Ἀργείων παρὰ νηυσὶ χαρίζετο ἱερὰ ῥέζων [1.62] Τροίῃ ἐν εὐρείῃ;,Did not Odysseus beside the ships of the Argives offer thee sacrifice without stint in the broad land of Troy ?,οὐ νῦν σύ Ὀδυσσεύς Ἀργεῖος παρά ναῦς χαρίζομαι ἱερός ῥέζω Τροία ἐν εὐρύς
2185572,1.62,"[1.62] τί νύ οἱ τόσον ὠδύσαο, Ζεῦ;&#34;","Wherefore then didst thou conceive such wrath 2 against him, O Zeus?",τί νῦν ἕ τόσος ὀδύσσομαι Ζεύς
2185573,1.63,[1.63] τὴν δ᾽ ἀπαμειβόμενος προσέφη νεφεληγερέτα Ζεύς:&#34;,"Then Zeus, the cloud-gatherer, answered her and said:",ὁ δέ ἀπαμείβομαι πρόσφημι νεφεληγερέτα Ζεύς
2185574,1.64,"&#34; [1.64] τέκνον ἐμόν, ποῖόν σε ἔπος φύγεν ἕρκος ὀδόντων.","My child, what a word has escaped the barrier of thy teeth?",τέκνον ἐμός ποῖος σύ ἔπος φεύγω ἕρκος ὀδούς
2185575,1.65-1.67,"[1.65] πῶς ἂν ἔπειτ᾽ Ὀδυσῆος ἐγὼ θείοιο λαθοίμην, [1.66] ὃς περὶ μὲν νόον ἐστὶ βροτῶν, περὶ δ᾽ ἱρὰ θεοῖσιν [1.67] ἀθανάτοισιν ἔδωκε, τοὶ οὐρανὸν εὐρὺν ἔχουσιν;","How should I, then, forget godlike Odysseus, who is beyond all mortals in wisdom, and beyond all has paid sacrifice to the immortal gods, who hold broad heaven?",πῶς2 ἄν ἔπειτα Ὀδυσσεύς ἐγώ θεῖος λανθάνω ὅς περί μέν νόος εἰμί βροτός περί δέ ἱερός θεός ἀθάνατος δίδωμι ὁ οὐρανός εὐρύς ἔχω
2185576,1.68-1.71,"[1.68] ἀλλὰ Ποσειδάων γαιήοχος ἀσκελὲς αἰεὶ [1.69] Κύκλωπος κεχόλωται, ὃν ὀφθαλμοῦ ἀλάωσεν , [1.70] ἀντίθεον Πολύφημον, ὅου κράτος ἐστὶ μέγιστον [1.71] πᾶσιν Κυκλώπεσσι:","Nay, it is Poseidon, the earth-enfolder, who is ever filled with stubborn wrath because of the Cyclops, whom Odysseus blinded of his eye— even the godlike Polyphemus, whose might is greatest among all the Cyclopes;",ἀλλά Ποσειδεών γαιήοχος ἀσκελής ἀεί Κύκλωψ χολόω ὅς ὀφθαλμός ἀλαόω ἀντίθεος Πολύφημος ὅς κράτος εἰμί μέγας πᾶς Κύκλωψ
2185577,1.71-1.73,"[1.71] Θόωσα δέ μιν τέκε νύμφη , [1.72] Φόρκυνος θυγάτηρ ἁλὸς ἀτρυγέτοιο μέδοντος, [1.73] ἐν σπέσσι γλαφυροῖσι Ποσειδάωνι μιγεῖσα.","and the nymph Thoosa bore him, daughter of Phorcys who rules over the unresting 1 sea; for in the hollow caves she lay with Poseidon.",Θόωσα δέ μιν τίκτω νύμφη Φόρκυς θυγάτηρ ἅλς ἀτρύγετος μέδων ἐν σπέος γλαφυρός Ποσειδεών μίγνυμι
2185578,1.74-1.75,"[1.74] ἐκ τοῦ δὴ Ὀδυσῆα Ποσειδάων ἐνοσίχθων [1.75] οὔ τι κατακτείνει, πλάζει δ᾽ ἀπὸ πατρίδος αἴης.","From that time forth Poseidon, the earth-shaker, does not indeed slay Odysseus, but makes him a wanderer from his native land.",ἐκ ὁ δή Ὀδυσσεύς Ποσειδεών Ἐνοσίχθων οὐ τί κατακτείνω πλάζω δέ ἀπό πατρίς αἶα
2185579,1.76-1.77,"[1.76] ἀλλ᾽ ἄγεθ᾽, ἡμεῖς οἵδε περιφραζώμεθα πάντες [1.77] νόστον, ὅπως ἔλθῃσι:","But come, let us who are here all take thought of his return, that he may come home;",ἀλλά ἄγε ἐγώ ὅδε περιφράζομαι πᾶς νόστος ὅπως ἔρχομαι
2185580,1.77-1.78,[1.77] Ποσειδάων δὲ μεθήσει [1.78] ὃν χόλον:,"and Poseidon will let go his anger,",Ποσειδεών δέ μεθίημι ὅς χόλος
2185581,1.78-1.79,[1.78] οὐ μὲν γὰρ τι δυνήσεται ἀντία πάντων [1.79] ἀθανάτων ἀέκητι θεῶν ἐριδαινέμεν οἶος.&#34;,"for he will in no wise be able, against all the immortal gods and in their despite, to contend alone.",οὐ μέν γάρ τί δύναμαι ἀντίος πᾶς ἀθάνατος ἀέκητι θεός ἐριδαίνω οἶος
2185582,1.8,"[1.80] τὸν δ᾽ ἠμείβετ᾽ ἔπειτα θεά, γλαυκῶπις Ἀθήνη:","Then the goddess, flashing-eyed Athena, answered him:",ὁ δέ ἀμείβω ἔπειτα θεά γλαυκῶπις Ἀθῆναι
2185583,1.81-1.87,"&#34; [1.81] ὦ πάτερ ἡμέτερε Κρονίδη , ὕπατε κρειόντων, [1.82] εἰ μὲν δὴ νῦν τοῦτο φίλον μακάρεσσι θεοῖσιν, [1.83] νοστῆσαι Ὀδυσῆα πολύφρονα ὅνδε δόμονδε, [1.84] Ἑρμείαν μὲν ἔπειτα διάκτορον ἀργεϊφόντην [1.85] νῆσον ἐς Ὠγυγίην ὀτρύνομεν, ὄφρα τάχιστα [1.86] νύμφῃ ἐυπλοκάμῳ εἴπῃ νημερτέα βουλήν, [1.87] νόστον Ὀδυσσῆος ταλασίφρονος, ὥς κε νέηται: [0]","Father of us all, thou son of Cronos, high above all lords, if indeed this is now well pleasing to the blessed gods, that the wise Odysseus should return to his own home, let us send forth Hermes, the messenger, Argeiphontes, to the isle Ogygia, that with all speed he may declare to the fair-tressed nymph our fixed resolve, even the return of Odysseus of the steadfast heart, that he may come home.",ὦ πατήρ ἡμέτερος Κρονίδης ὕπατος κρείων εἰ μέν δή νῦν οὗτος φίλος μάκαρ θεός νοστέω Ὀδυσσεύς πολύφρων ὅς δόμονδε Ἑρμῆς μέν ἔπειτα διάκτορος Ἀργειφόντης νῆσος εἰς Ὠγυγία ὀτρύνω ὄφρα ταχύς νύμφη εὐπλόκαμος εἶπον νημερτής βουλή νόστος Ὀδυσσεύς ταλασίφρων ὡς ἄν νέομαι
2185584,1.88-1.92,"[1.88] αὐτὰρ ἐγὼν Ἰθάκηνδ᾽ ἐσελεύσομαι, ὄφρα οἱ υἱὸν [1.89] μᾶλλον ἐποτρύνω καί οἱ μένος ἐν φρεσὶ θείω, [1.90] εἰς ἀγορὴν καλέσαντα κάρη κομόωντας Ἀχαιοὺς [1.91] πᾶσι μνηστήρεσσιν ἀπειπέμεν , οἵ τέ οἱ αἰεὶ [1.92] μῆλ᾽ ἁδινὰ σφάζουσι καὶ εἰλίποδας ἕλικας βοῦς.","But, as for me, I will go to Ithaca , that I may the more arouse his son, and set courage in his heart to call to an assembly the long-haired Achaeans, and speak out his word to all the wooers, who are ever slaying his thronging sheep and his sleek 2 kine of shambling gait.",ἀτάρ ἐγώ Ἰθάκηνδε εἰσέρχομαι ὄφρα ἕ υἱός μᾶλλον ἐποτρύνω καί ἕ μένος ἐν φρήν θέω εἰς ἀγορά καλέω κάρα κομάω Ἀχαιός πᾶς μνηστήρ ἀπεῖπον ὅς τε ἕ ἀεί μῆλον ἁδινός σφάζω καί εἰλίπους ἕλιξ βοῦς
2185585,1.93-1.95,"[1.93] πέμψω δ᾽ ἐς Σπάρτην τε καὶ ἐς Πύλον ἠμαθόεντα [1.94] νόστον πευσόμενον πατρὸς φίλου , ἤν που ἀκούσῃ, [1.95] ἠδ᾽ ἵνα μιν κλέος ἐσθλὸν ἐν ἀνθρώποισιν ἔχῃσιν.&#34;","And I will guide him to Sparta and to sandy Pylos , to seek tidings of the return of his dear father, if haply he may hear of it, that good report may be his among men.",πέμπω δέ εἰς Σπάρτη τε καί εἰς Πύλος ἠμαθόεις νόστος πυνθάνομαι πατήρ φίλος ἐάν πού ἀκούω ἠδέ ἵνα μιν κλέος ἐσθλός ἐν ἄνθρωπος ἔχω
2185586,1.95-1.97,"[1.95] ὣς εἰποῦσ᾽ ὑπὸ ποσσὶν ἐδήσατο καλὰ πέδιλα, [1.96] ἀμβρόσια χρύσεια, τά μιν φέρον ἠμὲν ἐφ᾽ ὑγρὴν [1.97] ἠδ᾽ ἐπ᾽ ἀπείρονα γαῖαν ἅμα πνοιῇς ἀνέμοιο:","So she spoke, and bound beneath her feet her beautiful sandals, immortal, 1 golden, which were wont to bear her both over the waters of the sea and over the boundless land swift as the blasts of the wind.",ὡς εἶπον ὑπό πούς δέω καλός πέδιλον ἀμβρόσιος χρύσεος ὁ μιν φέρω ἠμέν ἐπί ὑγρός ἠδέ ἐπί ἀπείρων2 γαῖα ἅμα πνοή ἄνεμος
2185587,1.98-1.101,"[1.98] εἵλετο δ᾽ ἄλκιμον ἔγχος , ἀκαχμένον ὀξέι χαλκῷ , [1.100] βριθὺ μέγα στιβαρόν , τῷ δάμνησι στίχας ἀνδρῶν [1.101] ἡρώων, τοῖσίν τε κοτέσσεται ὀβριμοπάτρη.","And she took her mighty spear, tipped with sharp bronze, heavy and huge and strong, wherewith she vanquishes the ranks of men—of warriors, with whom she is wroth, she, the daughter of the mighty sire.",αἱρέω δέ ἄλκιμος ἔγχος ἀκαχμένος ὀξύς χαλκοῦς βριθύς μέγας στιβαρός ὁ δάμνημι στίξ ἀνήρ ἥρως ὁ τε κοτέω ὀβριμοπάτρη
2185588,1.102-1.104,"[1.102] βῆ δὲ κατ᾽ Οὐλύμποιο καρήνων ἀίξασα, [1.103] στῆ δ᾽ Ἰθάκης ἐνὶ δήμῳ ἐπὶ προθύροις Ὀδυσῆος, [1.104] οὐδοῦ ἐπ᾽ αὐλείου:","Then she went darting down from the heights of Olympus , and took her stand in the land of Ithaca at the outer gate of Odysseus, on the threshold of the court.",βαίνω δέ κατά Ὄλυμπος κάρηνον ἀίσσω ἵστημι δέ Ἰθάκη ἐν δῆμος ἐπί πρόθυρον Ὀδυσσεύς οὐδός ἐπί αὔλειος
2185589,1.104-1.105,"[1.104] παλάμῃ δ᾽ ἔχε χάλκεον ἔγχος, [1.105] εἰδομένη ξείνῳ, Ταφίων ἡγήτορι Μέντῃ. [0]","In her hand she held the spear of bronze, and she was in the likeness of a stranger, Mentes, the leader of the Taphians.",παλάμη δέ ἔχω χάλκεος ἔγχος εἴδομαι ξένος Τάφιοι ἡγήτωρ Μέντης
2185590,1.106,[1.106] εὗρε δ᾽ ἄρα μνηστῆρας ἀγήνορας.,There she found the proud wooers.,εὑρίσκω δέ ἄρα μνηστήρ ἀγήνωρ
2185591,1.106-1.108,"[1.106] οἱ μὲν ἔπειτα [1.107] πεσσοῖσι προπάροιθε θυράων θυμὸν ἔτερπον [1.108] ἥμενοι ἐν ῥινοῖσι βοῶν, οὓς ἔκτανον αὐτοί:","They were taking their pleasure at draughts in front of the doors, sitting on the hides of oxen which they themselves had slain;",ἕ μέν ἔπειτα πεσσός προπάροιθε θύρα θυμός τέρπω ἧμαι εἰς ῥινός βοῦς ὅς κτείνω αὐτός
2185592,1.109-1.112,"[1.109] κήρυκες δ᾽ αὐτοῖσι καὶ ὀτρηροὶ θεράποντες [1.110] οἱ μὲν οἶνον ἔμισγον ἐνὶ κρητῆρσι καὶ ὕδωρ, [1.111] οἱ δ᾽ αὖτε σπόγγοισι πολυτρήτοισι τραπέζας [1.112] νίζον καὶ πρότιθεν, τοὶ δὲ κρέα πολλὰ δατεῦντο. [0]","and of the heralds 2 and busy squires, some were mixing wine and water for them in bowls, others again were washing the tables with porous sponges and setting them forth, while still others were portioning out meats in abundance.",κῆρυξ δέ αὐτός καί ὀτρηρός θεράπων ὁ μέν οἶνος μίγνυμι ἐν κρατήρ καί ὕδωρ ὁ δέ αὖτε σπόγγος πολύτρητος τράπεζα νίζω καί προθέω2 ὁ δέ κρέας πολύς δατέομαι
2185593,1.113-1.117,"[1.113] τὴν δὲ πολὺ πρῶτος ἴδε Τηλέμαχος θεοειδής, [1.114] ἧστο γὰρ ἐν μνηστῆρσι φίλον τετιημένος ἦτορ, [1.115] ὀσσόμενος πατέρ᾽ ἐσθλὸν ἐνὶ φρεσίν, εἴ ποθεν ἐλθὼν [1.116] μνηστήρων τῶν μὲν σκέδασιν κατὰ δώματα θείη, [1.117] τιμὴν δ᾽ αὐτὸς ἔχοι καὶ δώμασιν οἷσιν ἀνάσσοι.","Her the godlike Telemachus was far the first to see, for he was sitting among the wooers, sad at heart, seeing in thought his noble father, should he perchance come from somewhere and make a scattering of the wooers in the palace, and himself win honor and rule over his own house.",ὁ δέ πολύς πρῶτος εἶδον Τηλέμαχος θεοειδής ἧμαι γάρ εἰς μνηστήρ φίλος τετίημαι ἤτορ ὄσσομαι πατήρ ἐσθλός ἐν φρήν εἰ ποθεν ἔρχομαι μνηστήρ ὁ μέν σκέδασις κατά δῶμα τίθημι τιμή δέ αὐτός ἔχω καί δῶμα ὅς ἀνάσσω
2185594,1.118,"[1.118] τὰ φρονέων, μνηστῆρσι μεθήμενος, εἴσιδ᾽ Ἀθήνην.","As he thought of these things, sitting among the wooers, he beheld Athena, `",ὁ φρονέω μνηστήρ οτηερ εἰσοράω Ἀθήνη
2185595,1.119-1.120,"[1.119] βῆ δ᾽ ἰθὺς προθύροιο, νεμεσσήθη δ᾽ ἐνὶ θυμῷ [1.120] ξεῖνον δηθὰ θύρῃσιν ἐφεστάμεν:",and he went straight to the outer door; for in his heart he counted it shame that a stranger should stand long at the gates.,βαίνω δέ ἰθύς πρόθυρον νεμεσάω δέ ἐν θυμός ξένος δηθά θύρα ἐφίστημι
